model,name,intercept,bm,ret11,adjrsq,edf,rmse
1,estimate,0.0094734281,,,8.031624E-19,3942.9919786,0.1295294712
1,tvalue,3.9198148386,,,,,
2,estimate,0.0088001441,0.0010857048,,0.0071542309,2977.7869875,0.129190671
2,tvalue,3.7595429303,3.8104290197,,,,
3,estimate,0.0023362506,,0.0055562761,0.016366937,3574.6370968,0.1261617406
3,tvalue,0.7671432779,,3.1383601229,,,
4,estimate,0.0016283655,0.0010652022,0.0051989336,0.0229122345,2930.2777778,0.1273890047
4,tvalue,0.5416838731,3.8364940926,2.8585597959,,,
