intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100,los005,s005,his005,los010,s010,his010,los025,s025,his025,los050,s050,his050,los100,s100,his100
98,0.2496059298,0.4680754766,0.6865450233,0.2071508433,0.4764804533,0.7458100634,0.2783523457,0.6239878915,0.9696234373,0.2707712809,0.7116902865,1.1526092922,0.2531525001,0.8276759591,1.4021994182,1.1604164393,1.5087566047,1.8570967701,1.3745894328,1.8101074133,2.2456253937,1.6686445413,2.1785373146,2.6884300879,1.8376467371,2.5025531985,3.1674596599,1.3356074763,2.7438391773,4.1520708783
99,0.2437456282,0.4634199142,0.6830942001,0.1902511024,0.461234158,0.7322172136,0.2268251289,0.5756653312,0.9245055335,0.2228030666,0.6596878084,1.0965725502,0.2165592013,0.7967215442,1.376883887,1.1517928066,1.5023487556,1.8529047045,1.3512130026,1.7906646848,2.230116367,1.6283802885,2.1413800491,2.6543798097,1.80173113,2.4703491314,3.1389671328,1.2654218511,2.8150557844,4.3646897177
100,0.2311464318,0.4542876522,0.6774288726,0.1712605303,0.4431524991,0.7150444679,0.2037447672,0.5572415688,0.9107383704,0.1893767278,0.6419148358,1.0944529437,0.1571953627,0.7480000643,1.3388047659,1.1450200813,1.4939174922,1.8428149031,1.3497785794,1.7875260178,2.2252734563,1.6170828494,2.1345777262,2.6520726029,1.8018766223,2.4830504078,3.1642241933,1.2569289549,2.8576492631,4.4583695713
101,0.2510887306,0.4802124976,0.7093362645,0.1980478558,0.4765433755,0.7550388952,0.2330010254,0.6013234575,0.9696458896,0.2087962536,0.6803122326,1.1518282116,0.1733751186,0.8137319645,1.4540888103,1.1768754361,1.542998955,1.9091224739,1.3858519897,1.8541497542,2.3224475187,1.6591070581,2.2266530893,2.7941991206,1.8135231853,2.5717404392,3.3299576931,1.2220246564,3.0511844125,4.8803441686
102,0.2920082947,0.5274462781,0.7628842615,0.2591180766,0.5463174929,0.8335169092,0.2762488472,0.6632333196,1.050217792,0.2684453464,0.7709884419,1.2735315373,0.2404632078,0.9479417282,1.6554202487,1.2792570851,1.6667269626,2.0541968401,1.515198299,2.0161383756,2.5170784523,1.8212653506,2.4283850012,3.0355046518,1.9870427601,2.8118758527,3.6367089453,1.3284797658,3.4009945969,5.473509428
103,0.2933252347,0.5258251462,0.7583250577,0.2663429015,0.5483852473,0.8304275931,0.2810176769,0.6692175232,1.0574173694,0.2730022169,0.7854922769,1.2979823369,0.233329875,0.9595805854,1.6858312958,1.3194647505,1.7037237525,2.0879827545,1.5729025527,2.0697257615,2.5665489703,1.8784699468,2.4873744963,3.0962790459,2.0460704747,2.8833710944,3.7206717141,1.3769576769,3.4766821326,5.5764065883
104,0.3027201088,0.5373012895,0.7718824702,0.2766251298,0.5623744431,0.8481237565,0.268754298,0.6627288082,1.0567033185,0.2574934336,0.7752028735,1.2929123133,0.2480505992,0.9941553408,1.7402600823,1.3370133049,1.7315361036,2.1260589024,1.5885277758,2.092635497,2.5967432182,1.8949924829,2.5007381309,3.1064837788,2.0736172518,2.9053045322,3.7369918126,1.396854637,3.5756841984,5.7545137597
105,0.3112485115,0.5501383532,0.7890281948,0.2858372766,0.575316318,0.8647953593,0.2894675663,0.6889054005,1.0883432347,0.2700997111,0.7880696494,1.3060395877,0.283023843,1.0235663298,1.7641088167,1.3564592382,1.7609075364,2.1653558345,1.6207258417,2.1389074995,2.6570891573,1.9432265651,2.5630522146,3.182877864,2.1025546702,2.953256045,3.8039574198,1.3950124937,3.6348645,5.8747165064
106,0.3022893449,0.5441868163,0.7860842877,0.2760696856,0.5700033568,0.863937028,0.2834091681,0.6900399612,1.0966707543,0.2594614937,0.7805981332,1.3017347727,0.2612144217,0.988523097,1.7158317723,1.3514338618,1.7673412082,2.1832485545,1.6214425146,2.151848538,2.6822545613,1.9478860787,2.5716197467,3.1953534146,2.0875838212,2.9286287025,3.7696735838,1.356057602,3.6169989829,5.8779403638
107,0.2790454839,0.5251628089,0.7712801338,0.2504391305,0.5487434446,0.8470477588,0.2552125753,0.6648301042,1.0744476331,0.2410644722,0.7725751632,1.3040858542,0.2729479005,0.9596888791,1.6464298578,1.3595204628,1.7794247061,2.1993289494,1.6374709308,2.1703849149,2.7032988989,1.9869929991,2.6071226517,3.2272523044,2.1304935907,2.9298320418,3.7291704929,1.4693867531,3.4646430364,5.4598993196
108,0.2895962554,0.539823545,0.7900508346,0.2575198331,0.5608646325,0.8642094318,0.2646175851,0.6838529857,1.1030883862,0.2487820472,0.7843617805,1.3199415139,0.2872830001,0.985645039,1.6840070779,1.3909869895,1.8164398125,2.2418926356,1.6635922904,2.2077009076,2.7518095248,2.0119082977,2.6478636436,3.2838189895,2.173221422,3.0225695164,3.8719176107,1.5004280784,3.5993861951,5.6983443118
109,0.2908461049,0.5407819694,0.790717834,0.2509801871,0.5549869665,0.8589937459,0.2572114854,0.6701237092,1.0830359329,0.2479805061,0.7786384335,1.3092963608,0.2879807341,0.9986651473,1.7093495605,1.384428737,1.8127896516,2.2411505661,1.6512241277,2.1966143373,2.7420045468,1.9851945071,2.6179121902,3.2506298733,2.1211328611,2.9692381094,3.8173433576,1.4718376345,3.6188546076,5.7658715806
110,0.2756596342,0.5308244895,0.7859893449,0.2420748808,0.5505219586,0.8589690364,0.2671493465,0.6881468292,1.1091443119,0.2684612515,0.8032039719,1.3379466923,0.31775598,1.025612897,1.7334698141,1.389676797,1.8212667396,2.2528566822,1.6603320279,2.2078027425,2.7552734572,2.0074931501,2.6506535392,3.2938139283,2.16372102,3.0427272999,3.9217335798,1.4302839423,3.5822272526,5.7341705628
111,0.2564822604,0.5114546051,0.7664269498,0.2151293319,0.5241729039,0.8332164759,0.2175607258,0.6380629946,1.0585652634,0.2073978798,0.7360436106,1.2646893413,0.245408588,0.9426866139,1.6399646399,1.3695298682,1.7960455023,2.2225611365,1.6344146369,2.1780077136,2.7216007903,1.9797669692,2.6093782085,3.2389894478,2.1439834244,3.004244603,3.8645057817,1.451468683,3.5854333055,5.719397928
112,0.2445676609,0.5065531076,0.7685385544,0.2002321295,0.5158039,0.8313756705,0.1744635644,0.6103400857,1.0462166071,0.1807872685,0.7284743647,1.2761614609,0.2489777949,0.9837585154,1.718539236,1.3664327017,1.7935309482,2.2206291948,1.6277228054,2.1775283513,2.7273338972,1.971079304,2.6130471762,3.2550150485,2.19125808,3.0949164181,3.9985747562,1.5262044658,3.8550233028,6.1838421397
113,0.2745799543,0.5425452768,0.8105105993,0.2345812852,0.5590397912,0.8834982972,0.2159011402,0.6633310904,1.1107610405,0.2174914931,0.7809101447,1.3443287964,0.2893835118,1.0575659151,1.8257483184,1.4053394207,1.8490730498,2.292806679,1.6812979354,2.2552030008,2.8291080662,2.0473333042,2.7289207663,3.4105082285,2.2278930948,3.1853189028,4.1427447109,1.475834959,3.9994866754,6.5231383918
114,0.3325096172,0.6125855338,0.8926614504,0.3064884744,0.6433669358,0.9802453972,0.28441752,0.7435321481,1.2026467761,0.2753486089,0.8650833439,1.4548180789,0.3665438622,1.1917993709,2.0170548796,1.5428970939,2.0158288868,2.4887606797,1.8514782383,2.4561456151,3.0608129919,2.2468478016,2.9595665629,3.6722853243,2.4519766312,3.455705266,4.4594339008,1.6079833834,4.3508049793,7.0936265753
115,0.3401406347,0.6161099872,0.8920793397,0.3246580692,0.6599187358,0.9951794023,0.3064637331,0.7707247379,1.2349857428,0.2865589501,0.8831694701,1.47977999,0.3866967684,1.2283836953,2.0700706223,1.5831250821,2.0549377118,2.5267503414,1.9103389307,2.5147092517,3.1190795727,2.3185351806,3.0364888666,3.7544425526,2.4989660528,3.4928100002,4.4866539476,1.6862525821,4.4400651984,7.1938778146
116,0.3461978043,0.6258490164,0.9055002286,0.331280447,0.6760410403,1.0208016337,0.3012921889,0.7880792742,1.2748663595,0.2639273014,0.8749235238,1.4859197462,0.3732468444,1.2118848097,2.0505227749,1.6078669697,2.0836545931,2.5594422165,1.9289242009,2.5432507522,3.1575773035,2.3296954645,3.062352005,3.7950085455,2.5494914721,3.5553997738,4.5613080755,1.7505945902,4.4701627263,7.1897308625
117,0.3597324214,0.6373568341,0.9149812468,0.3495104674,0.6913632561,1.0332160448,0.3235720654,0.7998473805,1.2761226955,0.2718372428,0.8763440416,1.4808508404,0.3394728154,1.1716229964,2.0037731774,1.6262251557,2.1054301288,2.5846351018,1.9582039822,2.5809969568,3.2037899313,2.3616129439,3.1065350695,3.851457195,2.547908196,3.5351874086,4.5224666213,1.7615996823,4.4043756673,7.0471516522
118,0.3498370954,0.6317372889,0.9136374825,0.3278771788,0.6751729641,1.0224687493,0.3081878368,0.7935608201,1.2789338035,0.2667900374,0.8795025355,1.4922150336,0.3177371094,1.1378765354,1.9580159614,1.6283327589,2.1142792869,2.6002258149,1.9557995319,2.5906658787,3.2255322254,2.3542396016,3.1289134567,3.9035873117,2.5302521759,3.522012684,4.513773192,1.7930251977,4.271613869,6.7502025403
119,0.3256929159,0.6158031365,0.9059133571,0.305806677,0.6610945415,1.0163824061,0.2699738228,0.7682425696,1.2665113164,0.2310906952,0.8649180077,1.4987453202,0.3261964151,1.1530119407,1.9798274662,1.6345812965,2.130468092,2.6263548874,1.9718868961,2.6192562373,3.2666255785,2.3646745238,3.1666196882,3.9685648527,2.5229944128,3.5133117382,4.5036290636,1.8210473603,4.1848482742,6.5486491881
120,0.329011213,0.624735512,0.9204598109,0.3140021724,0.6751391385,1.0362761046,0.286268156,0.7897421677,1.2932161795,0.2502751474,0.8837728869,1.5172706264,0.3698274962,1.1930355275,2.0162435588,1.6606488121,2.1601080593,2.6595673066,2.0041958106,2.6580427682,3.3118897258,2.4011695928,3.2054803754,4.009791158,2.5774786785,3.5823914368,4.5873041952,1.8837728933,4.2679275504,6.6520822075
