intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100,los005,s005,his005,los010,s010,his010,los025,s025,his025,los050,s050,his050,los100,s100,his100
48,0.0733774814,0.2010868937,0.328796306,0.0834885285,0.2421316155,0.4007747024,0.1615451228,0.3620187644,0.5624924061,0.1527488737,0.4128324477,0.6729160216,0.2112540905,0.6926254712,1.1739968519,0.4423729361,0.6513816727,0.8603904094,0.5376337036,0.8073504952,1.0770672868,0.6677416876,0.978402432,1.2890631763,0.7366527324,1.2682667244,1.7998807164,0.566034408,1.6992613361,2.8324882642
49,0.0743326156,0.2007293162,0.3271260168,0.080841803,0.2383603582,0.3958789135,0.1569192282,0.3523055273,0.5476918265,0.1462301109,0.3993840652,0.6525380194,0.2082921379,0.664598859,1.1209055801,0.4478158608,0.6527019928,0.8575881248,0.5401613523,0.8004426535,1.0607239547,0.6666496063,0.9600223045,1.2533950027,0.7297423866,1.2353937475,1.7410451084,0.5633990383,1.646490082,2.7295811257
50,0.0809520061,0.2029579971,0.3249639882,0.0846679634,0.2365830348,0.3884981063,0.169943055,0.3538553054,0.5377675559,0.1554648073,0.388533083,0.6216013587,0.2112198163,0.6240016411,1.0367834659,0.4667900746,0.664458217,0.8621263594,0.5656095369,0.811302639,1.0569957411,0.6904864125,0.9691124061,1.2477383996,0.7399112688,1.225539163,1.7111670573,0.5651652255,1.5556567601,2.5461482946
51,0.0796042572,0.2035772261,0.327550195,0.0731543929,0.2270557668,0.3809571407,0.1616638362,0.3445541925,0.5274445489,0.1370044196,0.3776162055,0.6182279913,0.182438527,0.5891889093,0.9959392917,0.460634992,0.6635145036,0.8663940151,0.5546291885,0.8061667219,1.0577042554,0.6696232415,0.9579381471,1.2462530527,0.7020104238,1.2367330932,1.7714557626,0.5397144742,1.5692724163,2.5988303585
52,0.077981278,0.2107971891,0.3436131002,0.0673077147,0.2315610275,0.3958143404,0.1588905606,0.3520924805,0.5452944005,0.1326989231,0.3845073194,0.6363157157,0.1651303847,0.5888827601,1.0126351354,0.4616572138,0.6879989979,0.9143407819,0.5523228244,0.8273412145,1.1023596046,0.6653698248,0.9822461332,1.2991224416,0.6916097225,1.2920194919,1.8924292612,0.5066213367,1.6654324477,2.8242435587
53,0.0859292826,0.2268303968,0.3677315109,0.073401272,0.2475853749,0.4217694778,0.1690465136,0.3739875751,0.5789286366,0.1460680768,0.4041947985,0.6623215202,0.1926652166,0.638909228,1.0851532395,0.4763213261,0.7198492393,0.9633771526,0.5726141357,0.8687461638,1.1648781918,0.6916169775,1.0393102352,1.3870034929,0.7206985251,1.3645082061,2.008317887,0.5503057627,1.7971661786,3.0440265946
54,0.1116827853,0.2605878278,0.4094928703,0.1144269596,0.2955786868,0.476730414,0.2196270143,0.4303910639,0.6411551135,0.2021904125,0.4790564946,0.7559225767,0.2407473207,0.7402418847,1.2397364486,0.5320984553,0.8085218949,1.0849453346,0.6509345166,0.988422875,1.3259112335,0.7935765746,1.1888449682,1.5841133617,0.8253533449,1.6037494003,2.3821454556,0.5640254875,2.1808392107,3.7976529339
55,0.1196318032,0.2698288132,0.4200258232,0.1205769135,0.3050737879,0.4895706624,0.2314275028,0.4458329053,0.6602383078,0.2193812311,0.5052722098,0.7911631886,0.2838435247,0.7520098629,1.2201762012,0.5487146743,0.8399309891,1.1311473039,0.6713672786,1.027681507,1.3839957354,0.8256245343,1.2413833391,1.6571421439,0.8758996042,1.6540327727,2.4321659411,0.7114495501,2.2084370422,3.7054245344
56,0.1219936333,0.2783628903,0.4347321474,0.1190652138,0.3085991068,0.4981329999,0.215312943,0.4333060468,0.6512991505,0.2008135384,0.4877705031,0.7747274678,0.2782421568,0.7283841856,1.1785262144,0.5489255549,0.8515770344,1.1542285138,0.6726317898,1.0418677915,1.4111037932,0.8174393385,1.2435250073,1.6696106761,0.8462516029,1.6575545852,2.4688575675,0.7269387349,2.1984895148,3.6700402947
57,0.1280273158,0.2827356358,0.4374439558,0.129272701,0.3197213384,0.5101699757,0.2286045471,0.4464665905,0.6643286338,0.2081066814,0.4916199924,0.7751333035,0.2767260544,0.7099791443,1.1432322343,0.5666145632,0.8422360172,1.1178574712,0.6924710525,1.0313257653,1.3701804781,0.8386097654,1.2241285587,1.609647352,0.8802390379,1.5808320289,2.28142502,0.7100892687,2.1115040372,3.5129188057
58,0.1323841325,0.2910913989,0.4497986654,0.1345368154,0.3310749806,0.5276131459,0.2343922028,0.4595122662,0.6846323297,0.2238458007,0.5081708675,0.7924959344,0.2980360084,0.730417263,1.1627985176,0.5841784399,0.8614959304,1.1388134209,0.7125351229,1.0574925395,1.402449956,0.8704116352,1.2669074628,1.6634032905,0.926307261,1.6341518267,2.3419963924,0.7580717439,2.1132266807,3.4683816175
59,0.1182050478,0.281534459,0.4448638701,0.1140785212,0.3173682029,0.5206578846,0.2111136124,0.4482257227,0.685337833,0.2122766908,0.50962829,0.8069798891,0.3081931347,0.7340032322,1.1598133297,0.5965628152,0.8648421,1.1331213849,0.7266079589,1.0643967188,1.4021854787,0.8926987229,1.2882798144,1.6838609059,0.9911066261,1.6513997822,2.3116929383,0.8592131666,2.0900094101,3.3208056536
60,0.1300227639,0.2910812755,0.4521397871,0.124922271,0.3241975722,0.5234728734,0.2193713551,0.450630639,0.6818899229,0.2189640179,0.518834918,0.8187058181,0.3261954104,0.747971207,1.1697470036,0.6122777326,0.8891099159,1.1659420992,0.7449210187,1.0862302552,1.4275394918,0.9056319957,1.3021162475,1.6986004993,1.0026757742,1.6952547116,2.3878336491,0.8706533234,2.1758232517,3.4809931799
61,0.1242382969,0.2829767674,0.4417152378,0.1139806781,0.3112471863,0.5085136944,0.2082834192,0.4370598096,0.6658362,0.2032476397,0.5025132281,0.8017788165,0.3053212832,0.7045582565,1.1037952299,0.6158833218,0.8797593963,1.1436354707,0.7458914274,1.0699027448,1.3939140622,0.897890251,1.2733688343,1.6488474176,1.0026169906,1.6416803428,2.2807436949,0.8786720204,2.0809055367,3.2831390531
