intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100
46,0.0042557188,0.03166857,0.0590814211,-0.000631053,0.0358846189,0.0724002908,-0.009560028,0.0410087302,0.0915774885,-0.072083267,0.0017495575,0.0755823818,-0.123763024,-0.033603955,0.0565551139
47,0.0020594293,0.0296797482,0.057300067,-0.003428748,0.0335265045,0.0704817567,-0.011299061,0.0395498122,0.0903986853,-0.081396973,-0.005398796,0.0705993812,-0.14550262,-0.049850991,0.0458006375
48,-0.000949706,0.0269946314,0.0549389692,-0.00685458,0.0307641744,0.0683829287,-0.018744043,0.033436509,0.0856170611,-0.093411412,-0.014987623,0.0634361664,-0.168786611,-0.067067736,0.0346511395
49,-0.002747556,0.0255448924,0.0538373407,-0.007541942,0.0303336147,0.0682091714,-0.019599246,0.0326103809,0.0848200078,-0.103242115,-0.022280779,0.058680557,-0.190903513,-0.085151595,0.0206003241
50,-0.005217508,0.0236201805,0.0524578695,-0.010426842,0.0281569185,0.0667406792,-0.029079571,0.024851047,0.0787816646,-0.113460535,-0.031025735,0.051409065,-0.211770733,-0.102771772,0.0062271893
51,-0.007625985,0.0219956559,0.0516172972,-0.014703184,0.0250248996,0.0647529834,-0.036007681,0.0191516641,0.0743110092,-0.120825015,-0.037216188,0.0463926386,-0.228548676,-0.116918666,-0.005288657
52,-0.011375215,0.0191445561,0.0496643267,-0.020856886,0.0201248522,0.0611065906,-0.044785409,0.0118004648,0.0683863388,-0.126784702,-0.042571215,0.0416422727,-0.242487497,-0.128242644,-0.013997791
53,-0.014848543,0.016571181,0.0479909054,-0.026052714,0.0160826703,0.0582180542,-0.054191737,0.0037281665,0.0616480702,-0.133269312,-0.048395299,0.0364787133,-0.258679322,-0.139427432,-0.020175542
54,-0.019502496,0.0126343971,0.0447712898,-0.031052404,0.0117839756,0.054620355,-0.059176169,-0.000558375,0.0580594191,-0.139569318,-0.054708032,0.0301532542,-0.269587145,-0.149558493,-0.02952984
55,-0.023545571,0.0094407047,0.0424269804,-0.035502725,0.0080880797,0.0516788844,-0.067328775,-0.007769736,0.0517893023,-0.148006525,-0.062835247,0.0223360309,-0.275131495,-0.15592339,-0.036715285
56,-0.027921569,0.0059244195,0.0397704079,-0.041560513,0.0028204056,0.0472013243,-0.076152662,-0.015747959,0.044656743,-0.159227324,-0.073710832,0.011805659,-0.27741368,-0.160151851,-0.042890021
57,-0.033296407,0.001462424,0.0362212548,-0.048697335,-0.003466892,0.0417635506,-0.084725513,-0.023598197,0.0375291184,-0.1697297,-0.083913198,0.0019033048,-0.273160894,-0.160216378,-0.047271862
58,-0.040054377,-0.004795052,0.0304642723,-0.058107991,-0.012204464,0.0336990625,-0.093709281,-0.031603113,0.0305030549,-0.16918952,-0.084078746,0.0010320291,-0.276669396,-0.164365127,-0.052060859
59,-0.045872299,-0.010473977,0.024924345,-0.070105721,-0.023558858,0.022988006,-0.105831576,-0.043495443,0.0188406898,-0.179612309,-0.093752257,-0.007892204,-0.288833355,-0.174960672,-0.06108799
60,-0.052086589,-0.016398048,0.0192904943,-0.080404556,-0.033567958,0.0132686398,-0.122453551,-0.0591204,0.0042127499,-0.194546006,-0.107387662,-0.020229318,-0.296722251,-0.182301653,-0.067881055
61,-0.057248977,-0.021175911,0.0148971539,-0.089359303,-0.041964996,0.0054293102,-0.129430153,-0.066325449,-0.003220746,-0.196591365,-0.108794936,-0.020998507,-0.30338385,-0.189004022,-0.074624195
62,-0.0625291,-0.025813416,0.0109022688,-0.097859971,-0.050266307,-0.002672643,-0.134756542,-0.07189823,-0.009039918,-0.200069514,-0.112745186,-0.025420857,-0.306611727,-0.191967261,-0.077322794
63,-0.065950086,-0.02908899,0.0077721053,-0.103476222,-0.05571801,-0.007959798,-0.139714783,-0.077108658,-0.014502532,-0.203858346,-0.116414019,-0.028969691,-0.304430906,-0.191372126,-0.078313345
64,-0.068066099,-0.031230171,0.0056057569,-0.107566034,-0.059763853,-0.011961672,-0.139999138,-0.078494111,-0.016989083,-0.204480967,-0.117272208,-0.030063448,-0.291739034,-0.180678023,-0.069617013
65,-0.069655837,-0.032918954,0.0038179289,-0.108204432,-0.060537673,-0.012870915,-0.141921294,-0.080600919,-0.019280544,-0.199394689,-0.113229935,-0.027065182,-0.291857905,-0.181981595,-0.072105285
66,-0.071424516,-0.03439616,0.002632195,-0.1093813,-0.061527582,-0.013673864,-0.144737939,-0.083238071,-0.021738203,-0.200881149,-0.113549401,-0.026217654,-0.291581482,-0.181422879,-0.071264277
67,-0.073180443,-0.035660194,0.0018600564,-0.111001363,-0.062820104,-0.014638845,-0.145408948,-0.083709257,-0.022009566,-0.207767816,-0.118915437,-0.030063058,-0.298287863,-0.18578975,-0.073291637
68,-0.075840239,-0.037575053,0.0006901325,-0.112362544,-0.063571577,-0.01478061,-0.148412281,-0.086218163,-0.024024044,-0.210239921,-0.120877476,-0.031515031,-0.298905251,-0.185327869,-0.071750487
